,Date,Prob,Label,Symbol
250,2024-04-18,0.40491873,-1,AJG
251,2024-04-26,0.4987385,-1,HAS
252,2024-05-15,0.5418623,-1,PSA
253,2024-04-26,0.35045117,-1,CVX
254,2024-04-15,0.42570564,1,CME
255,2024-04-22,0.53492963,1,ECL
256,2024-04-17,0.4551523,1,FICO
257,2024-04-26,0.34945238,1,CB
258,2024-04-05,0.51601636,-1,ADI
259,2024-04-08,0.4521923,-1,MAR
260,2024-04-24,0.57401294,1,META
261,2024-04-23,0.50164527,-1,PFG
262,2024-04-05,0.5267556,-1,CNP
263,2024-04-15,0.56150013,1,AAL
264,2024-05-06,0.5699362,1,IDXX
265,2024-04-05,0.53816617,-1,ZTS
266,2024-04-25,0.3561761,1,CL
267,2024-04-09,0.57057875,1,AOS
268,2024-04-18,0.4215518,1,QRVO
269,2024-05-15,0.4831935,-1,HD
270,2024-04-10,0.55293137,-1,BAX
271,2024-05-02,0.38382763,1,HES
272,2024-04-08,0.5005627,-1,DAY
273,2024-05-23,0.52437747,-1,ADBE
274,2024-03-28,0.53569466,1,EXC
275,2024-04-12,0.3905795,1,V
276,2024-04-03,0.4159254,1,XOM
277,2024-04-22,0.40145034,-1,PM
278,2024-04-22,0.5289823,1,MCK
279,2024-04-04,0.6512184,1,UDR
280,2024-05-09,0.36466452,-1,POOL
281,2024-05-23,0.40484113,-1,ETN
282,2024-04-26,0.5314705,1,UHS
283,2024-04-26,0.46077824,-1,ALGN
284,2024-04-05,0.5024751,-1,AWK
285,2024-04-08,0.45887017,-1,LIN
286,2024-05-15,0.5619298,1,APH
287,2024-04-11,0.41689408,-1,HLT
288,2024-04-02,0.46606386,1,CAG
289,2024-05-23,0.45803288,-1,GEN
290,2024-04-04,0.6126714,-1,NDSN
291,2024-05-14,0.5042969,1,HPQ
292,2024-05-06,0.4750999,-1,VTRS
293,2024-05-10,0.48453778,1,CBRE
294,2024-04-24,0.48310634,-1,ETSY
295,2024-05-07,0.6782185,1,MS
296,2024-04-24,0.3944349,-1,LOW
297,2024-04-23,0.5912311,-1,SBAC
298,2024-04-12,0.4349723,-1,PNR
299,2024-04-08,0.5116119,-1,CINF
300,2024-04-04,0.4088499,-1,HPE
301,2024-04-11,0.3821035,-1,BWA
302,2024-05-13,0.6279289,-1,CMCSA
303,2024-05-23,0.45448127,1,UAL
304,2024-04-03,0.46862835,1,GOOGL
305,2024-04-30,0.58670145,1,BKNG
306,2024-04-24,0.43365338,-1,MAR
307,2024-05-01,0.33212265,1,TSCO
308,2024-05-15,0.6304209,-1,BXP
309,2024-05-02,0.51508814,-1,ALGN
310,2024-04-11,0.39196464,1,TSN
311,2024-05-07,0.68822354,1,SNA
312,2024-05-09,0.5091483,1,KEYS
313,2024-04-18,0.3878667,1,WM
314,2024-05-23,0.4572646,1,IRM
315,2024-05-01,0.39410663,1,FDX
316,2024-05-10,0.22103132,1,GNRC
317,2024-04-05,0.39015767,-1,VMC
318,2024-05-14,0.5459832,1,IT
319,2024-05-13,0.41793552,1,HII
320,2024-03-28,0.5160531,-1,AOS
321,2024-04-18,0.21390882,1,CARR
322,2024-05-07,0.5430979,1,GEN
323,2024-05-22,0.49962506,-1,ACN
324,2024-04-05,0.4666747,-1,NDSN
325,2024-05-07,0.5180274,1,FOX
326,2024-04-26,0.50665265,1,APTV
327,2024-04-30,0.42173353,1,SCHW
328,2024-05-03,0.57341456,-1,J
329,2024-04-30,0.58151954,1,WBD
330,2024-04-17,0.51875,1,DLR
331,2024-05-15,0.24855357,-1,CTVA
332,2024-05-02,0.44216368,1,RVTY
333,2024-05-07,0.3957759,1,BXP
334,2024-05-01,0.4693361,1,GEN
335,2024-05-14,0.4605206,-1,COO
336,2024-05-10,0.48982045,1,ELV
337,2024-04-08,0.35137558,-1,TER
338,2024-04-16,0.63304496,1,DHI
339,2024-05-14,0.55229,1,CSX
340,2024-04-30,0.50807774,1,AMD
341,2024-04-03,0.49705148,-1,LNT
342,2024-05-15,0.5111919,-1,EQR
343,2024-04-19,0.5201166,1,CTVA
344,2024-05-01,0.47751626,1,NEE
345,2024-05-03,0.5506567,1,FTNT
346,2024-05-02,0.46333236,-1,CTRA
347,2024-04-02,0.51521856,1,GDDY
348,2024-04-08,0.6039374,-1,LUV
349,2024-05-17,0.5273065,-1,EOG
350,2024-04-19,0.3653592,1,MAA
351,2024-05-14,0.532435,-1,LVS
352,2024-04-03,0.70147026,-1,OMC
353,2024-04-08,0.49597883,-1,AAL
354,2024-05-15,0.6738281,-1,TFX
355,2024-05-03,0.5650286,1,LW
356,2024-04-25,0.50808954,-1,HPE
357,2024-05-10,0.6674083,-1,GPC
358,2024-04-01,0.52955514,1,REG
359,2024-05-02,0.5323867,1,HD
360,2024-04-18,0.46260822,1,MA
361,2024-04-08,0.43527377,-1,TMO
362,2024-05-06,0.4657246,1,NVDA
363,2024-04-08,0.5189785,-1,BKR
364,2024-05-14,0.6669746,1,JKHY
365,2024-05-09,0.5466785,1,GEN
366,2024-04-26,0.4764761,-1,CMI
367,2024-05-21,0.56260383,-1,PCAR
368,2024-04-25,0.6261307,-1,ITW
369,2024-05-06,0.42968804,-1,ALGN
370,2024-04-02,0.59166735,1,CTLT
371,2024-05-03,0.31918272,-1,DXCM
372,2024-05-13,0.42869467,1,FIS
