raw_symbol,instrument_id,date
SPY,9506,2021-10-15
SPY,9506,2021-10-16
SPY,9506,2021-10-17
SPY,9510,2021-10-18
SPY,9513,2021-10-19
SPY,9517,2021-10-20
SPY,9526,2021-10-21
SPY,9529,2021-10-22
SPY,9529,2021-10-23
SPY,9529,2021-10-24
SPY,9533,2021-10-25
SPY,9540,2021-10-26
SPY,9552,2021-10-27
SPY,9567,2021-10-28
SPY,9573,2021-10-29
SPY,9573,2021-10-30
SPY,9573,2021-10-31
SPY,9579,2021-11-01
SPY,9585,2021-11-02
SPY,9597,2021-11-03
SPY,9613,2021-11-04
SPY,9626,2021-11-05
SPY,9626,2021-11-06
SPY,9626,2021-11-07
SPY,9628,2021-11-08
SPY,9648,2021-11-09
SPY,9660,2021-11-10
SPY,9666,2021-11-11
SPY,9676,2021-11-12
SPY,9676,2021-11-13
SPY,9676,2021-11-14
SPY,9674,2021-11-15
SPY,9687,2021-11-16
SPY,9701,2021-11-17
SPY,9712,2021-11-18
SPY,9719,2021-11-19
SPY,9719,2021-11-20
SPY,9719,2021-11-21
SPY,9726,2021-11-22
SPY,9723,2021-11-23
SPY,9730,2021-11-24
SPY,9730,2021-11-25
SPY,9738,2021-11-26
SPY,9738,2021-11-27
SPY,9738,2021-11-28
SPY,9748,2021-11-29
SPY,9753,2021-11-30
SPY,9756,2021-12-01
SPY,9764,2021-12-02
SPY,9768,2021-12-03
SPY,9768,2021-12-04
SPY,9768,2021-12-05
SPY,9770,2021-12-06
SPY,9777,2021-12-07
SPY,9787,2021-12-08
SPY,9802,2021-12-09
SPY,9812,2021-12-10
SPY,9812,2021-12-11
SPY,9812,2021-12-12
SPY,9823,2021-12-13
SPY,9832,2021-12-14
SPY,9842,2021-12-15
SPY,9851,2021-12-16
SPY,9864,2021-12-17
SPY,9864,2021-12-18
SPY,9864,2021-12-19
SPY,9874,2021-12-20
SPY,9881,2021-12-21
SPY,9884,2021-12-22
SPY,9882,2021-12-23
SPY,9882,2021-12-24
SPY,9882,2021-12-25
SPY,9882,2021-12-26
SPY,9896,2021-12-27
SPY,9893,2021-12-28
SPY,9896,2021-12-29
SPY,9905,2021-12-30
SPY,9911,2021-12-31
SPY,9911,2022-01-01
SPY,9911,2022-01-02
SPY,9919,2022-01-03
SPY,9920,2022-01-04
SPY,9926,2022-01-05
SPY,9932,2022-01-06
SPY,9937,2022-01-07
SPY,9937,2022-01-08
SPY,9937,2022-01-09
SPY,9952,2022-01-10
SPY,9964,2022-01-11
SPY,9971,2022-01-12
SPY,9978,2022-01-13
SPY,9987,2022-01-14
SPY,9987,2022-01-15
SPY,9987,2022-01-16
SPY,9987,2022-01-17
SPY,9983,2022-01-18
SPY,9985,2022-01-19
SPY,10002,2022-01-20
SPY,10012,2022-01-21
SPY,10012,2022-01-22
SPY,10012,2022-01-23
SPY,10023,2022-01-24
SPY,10024,2022-01-25
SPY,10031,2022-01-26
SPY,10037,2022-01-27
SPY,10039,2022-01-28
SPY,10039,2022-01-29
SPY,10039,2022-01-30
SPY,10051,2022-01-31
SPY,10055,2022-02-01
SPY,10054,2022-02-02
SPY,10060,2022-02-03
SPY,10072,2022-02-04
SPY,10072,2022-02-05
SPY,10072,2022-02-06
SPY,10086,2022-02-07
SPY,10093,2022-02-08
SPY,10097,2022-02-09
SPY,10109,2022-02-10
SPY,10117,2022-02-11
SPY,10117,2022-02-12
SPY,10117,2022-02-13
SPY,10117,2022-02-14
SPY,10121,2022-02-15
SPY,10123,2022-02-16
SPY,10130,2022-02-17
SPY,10128,2022-02-18
SPY,10128,2022-02-19
SPY,10128,2022-02-20
SPY,10128,2022-02-21
SPY,10131,2022-02-22
