ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
1540490400000000000,34,2,7317,269800000000,271800000000,269540000000,271290000000,2839342,SPY
1540494000000000000,34,2,7317,271285000000,271810000000,269570000000,270140000000,5275762,SPY
1540497600000000000,34,2,7317,270150000000,270400000000,267290000000,267550000000,1841897,SPY
1540501200000000000,34,2,7317,267560000000,267710000000,266750000000,267260000000,180147,SPY
1540504800000000000,34,2,7317,267340000000,267470000000,266210000000,267470000000,61162,SPY
1540508400000000000,34,2,7317,267390000000,267440000000,267050000000,267050000000,13637,SPY
1540540800000000000,34,2,7320,266120000000,266120000000,265320000000,265640000000,35984,SPY
1540544400000000000,34,2,7320,265590000000,265590000000,264100000000,264680000000,121036,SPY
1540548000000000000,34,2,7320,264720000000,265280000000,264520000000,264830000000,111656,SPY
1540551600000000000,34,2,7320,264990000000,265820000000,264990000000,265220000000,176354,SPY
1540555200000000000,34,2,7320,265200000000,266270000000,264750000000,266230000000,448847,SPY
1540558800000000000,34,2,7320,266250000000,266750000000,265110000000,265820000000,3213161,SPY
1540562400000000000,34,2,7320,265800000000,265810000000,262300000000,262480000000,6289219,SPY
1540566000000000000,34,2,7320,262450000000,266190000000,262320000000,265290000000,4370187,SPY
1540569600000000000,34,2,7320,265300000000,268320000000,265220000000,267560000000,3730063,SPY
1540573200000000000,34,2,7320,267540000000,268780000000,265950000000,267300000000,3425916,SPY
1540576800000000000,34,2,7320,267300000000,267590000000,264130000000,264470000000,3891823,SPY
1540580400000000000,34,2,7320,264460000000,266780000000,263670000000,265290000000,9872753,SPY
1540584000000000000,34,2,7320,265280000000,266590000000,265040000000,265710000000,1171688,SPY
1540587600000000000,34,2,7320,265950000000,266430000000,265610000000,266430000000,213777,SPY
1540591200000000000,34,2,7320,266430000000,266510000000,266320000000,266400000000,24554,SPY
1540594800000000000,34,2,7320,266340000000,266490000000,266280000000,266350000000,3800,SPY
1540800000000000000,34,2,7322,266430000000,266570000000,265830000000,266200000000,46293,SPY
1540803600000000000,34,2,7322,265960000000,267690000000,265910000000,267660000000,21951,SPY
1540807200000000000,34,2,7322,267620000000,268840000000,267610000000,268680000000,76683,SPY
1540810800000000000,34,2,7322,268650000000,269600000000,268540000000,268760000000,144571,SPY
1540814400000000000,34,2,7322,268800000000,269370000000,268800000000,269330000000,118753,SPY
1540818000000000000,34,2,7322,269320000000,269320000000,268260000000,269020000000,1891774,SPY
1540821600000000000,34,2,7322,269030000000,270250000000,268520000000,269140000000,2793444,SPY
1540825200000000000,34,2,7322,269150000000,269420000000,267410000000,267420000000,2325285,SPY
1540828800000000000,34,2,7322,267420000000,267580000000,266180000000,266630000000,3243044,SPY
1540832400000000000,34,2,7322,266640000000,267880000000,266600000000,267000000000,2192732,SPY
1540836000000000000,34,2,7322,266990000000,267000000000,264250000000,264550000000,4069588,SPY
1540839600000000000,34,2,7322,264560000000,264610000000,259860000000,263780000000,9593810,SPY
1540843200000000000,34,2,7322,263780000000,264090000000,263260000000,263450000000,1011233,SPY
1540846800000000000,34,2,7322,263480000000,263590000000,263360000000,263420000000,35663,SPY
1540850400000000000,34,2,7322,263480000000,263600000000,263180000000,263500000000,46357,SPY
1540854000000000000,34,2,7322,263400000000,263920000000,263400000000,263750000000,81814,SPY
1540886400000000000,34,2,7325,265220000000,265750000000,264940000000,265180000000,28794,SPY
1540890000000000000,34,2,7325,264920000000,265000000000,264000000000,264790000000,33261,SPY
1540893600000000000,34,2,7325,264850000000,265160000000,264540000000,264660000000,11088,SPY
1540897200000000000,34,2,7325,264740000000,265150000000,264350000000,264970000000,94856,SPY
1540900800000000000,34,2,7325,265060000000,265610000000,264200000000,264270000000,254948,SPY
1540904400000000000,34,2,7325,264240000000,267020000000,262870000000,266710000000,3290985,SPY
1540908000000000000,34,2,7325,266700000000,266910000000,264180000000,264590000000,5203028,SPY
1540911600000000000,34,2,7325,264600000000,266880000000,264090000000,265550000000,4017075,SPY
1540915200000000000,34,2,7325,265580000000,266300000000,264660000000,264690000000,2784256,SPY
1540918800000000000,34,2,7325,264700000000,265460000000,263580000000,265330000000,3014038,SPY
1540922400000000000,34,2,7325,265340000000,266600000000,264120000000,266290000000,3315031,SPY
1540926000000000000,34,2,7325,266280000000,268120000000,265450000000,267820000000,7151945,SPY
1540929600000000000,34,2,7325,267810000000,268500000000,267650000000,268400000000,806697,SPY
1540933200000000000,34,2,7325,268360000000,268450000000,267610000000,268450000000,48002,SPY
1540936800000000000,34,2,7325,268460000000,268500000000,268060000000,268130000000,116111,SPY
1540940400000000000,34,2,7325,268110000000,268360000000,268090000000,268210000000,17137,SPY
1540972800000000000,34,2,7331,269000000000,269900000000,269000000000,269830000000,23412,SPY
1540976400000000000,34,2,7331,269890000000,269890000000,269120000000,269250000000,53876,SPY
1540980000000000000,34,2,7331,269250000000,269970000000,269250000000,269800000000,53630,SPY
1540983600000000000,34,2,7331,269760000000,270220000000,269690000000,270130000000,79761,SPY
1540987200000000000,34,2,7331,270130000000,270900000000,270030000000,270790000000,155235,SPY
1540990800000000000,34,2,7331,270810000000,271645000000,270120000000,271510000000,2251694,SPY
1540994400000000000,34,2,7331,271520000000,272450000000,271070000000,271450000000,3107725,SPY
1540998000000000000,34,2,7331,271480000000,272000000000,270810000000,271230000000,2597865,SPY
1541001600000000000,34,2,7331,271250000000,272240000000,270370000000,272010000000,2241851,SPY
1541005200000000000,34,2,7331,272020000000,272770000000,271810000000,272420000000,1842080,SPY
1541008800000000000,34,2,7331,272410000000,273200000000,272090000000,272860000000,2555137,SPY
1541012400000000000,34,2,7331,272860000000,273230000000,270540000000,270690000000,8492693,SPY
1541016000000000000,34,2,7331,270700000000,271050000000,269990000000,270160000000,1279199,SPY
1541019600000000000,34,2,7331,270200000000,270270000000,270080000000,270190000000,66618,SPY
1541023200000000000,34,2,7331,270150000000,270730000000,270150000000,270510000000,87423,SPY
1541026800000000000,34,2,7331,270620000000,270840000000,270450000000,270840000000,20124,SPY
1541059200000000000,34,2,7325,270600000000,271540000000,270600000000,271410000000,10415,SPY
1541062800000000000,34,2,7325,271590000000,271770000000,271300000000,271750000000,22013,SPY
1541066400000000000,34,2,7325,271880000000,272260000000,271780000000,272000000000,47406,SPY
1541070000000000000,34,2,7325,272000000000,272200000000,271790000000,271820000000,66134,SPY
1541073600000000000,34,2,7325,271820000000,271980000000,271120000000,271240000000,160893,SPY
1541077200000000000,34,2,7325,271250000000,272180000000,270780000000,271290000000,2328331,SPY
1541080800000000000,34,2,7325,271270000000,272800000000,270380000000,272620000000,4435542,SPY
1541084400000000000,34,2,7325,272620000000,273070000000,272040000000,272500000000,2504216,SPY
1541088000000000000,34,2,7325,272525000000,273090000000,272150000000,273040000000,1739452,SPY
1541091600000000000,34,2,7325,273030000000,273250000000,272510000000,272820000000,2210522,SPY
1541095200000000000,34,2,7325,272820000000,273210000000,272430000000,273130000000,2192547,SPY
1541098800000000000,34,2,7325,273130000000,273730000000,272770000000,273500000000,3800655,SPY
1541102400000000000,34,2,7325,273490000000,273500000000,272180000000,272920000000,679322,SPY
1541106000000000000,34,2,7325,272900000000,272900000000,271680000000,272040000000,145664,SPY
1541109600000000000,34,2,7325,271970000000,272510000000,271940000000,272510000000,129639,SPY
1541113200000000000,34,2,7325,272500000000,272870000000,272470000000,272870000000,10543,SPY
1541145600000000000,34,2,7330,275530000000,275960000000,275470000000,275550000000,60487,SPY
1541149200000000000,34,2,7330,275500000000,275600000000,275080000000,275150000000,15118,SPY
1541152800000000000,34,2,7330,275100000000,275610000000,275050000000,275550000000,41843,SPY
1541156400000000000,34,2,7330,275460000000,276130000000,275330000000,275890000000,117795,SPY
1541160000000000000,34,2,7330,275970000000,276030000000,274700000000,275170000000,499921,SPY
1541163600000000000,34,2,7330,275170000000,275320000000,274080000000,274390000000,2339487,SPY
1541167200000000000,34,2,7330,274390000000,274480000000,271790000000,272870000000,4905101,SPY
1541170800000000000,34,2,7330,272880000000,272930000000,271160000000,271930000000,4119338,SPY
1541174400000000000,34,2,7330,271930000000,272070000000,269785000000,270210000000,2935883,SPY
1541178000000000000,34,2,7330,270200000000,271370000000,269590000000,270910000000,2780962,SPY
1541181600000000000,34,2,7330,270920000000,272410000000,270030000000,271530000000,4305467,SPY
1541185200000000000,34,2,7330,271530000000,272130000000,270810000000,271800000000,4525695,SPY
1541188800000000000,34,2,7330,271810000000,272140000000,271780000000,272040000000,883976,SPY
1541192400000000000,34,2,7330,271900000000,272040000000,271620000000,271700000000,151513,SPY
1541196000000000000,34,2,7330,271720000000,271930000000,271720000000,271760000000,6210,SPY
1541199600000000000,34,2,7330,271700000000,271840000000,271700000000,271840000000,1003,SPY
1541408400000000000,34,2,7328,271180000000,271680000000,271080000000,271650000000,15771,SPY
1541412000000000000,34,2,7328,271930000000,271950000000,271610000000,271950000000,10066,SPY
1541415600000000000,34,2,7328,271930000000,272390000000,271930000000,272380000000,19612,SPY
1541419200000000000,34,2,7328,272370000000,272600000000,271930000000,272190000000,52385,SPY
1541422800000000000,34,2,7328,272140000000,272300000000,271760000000,272250000000,57724,SPY
1541426400000000000,34,2,7328,272200000000,272960000000,272070000000,272170000000,1424234,SPY
1541430000000000000,34,2,7328,272160000000,272950000000,271350000000,272870000000,2584811,SPY
1541433600000000000,34,2,7328,272870000000,273070000000,272070000000,272760000000,1416675,SPY
1541437200000000000,34,2,7328,272770000000,272860000000,272070000000,272290000000,1065792,SPY
1541440800000000000,34,2,7328,272285000000,273000000000,272160000000,272870000000,1218485,SPY
1541444400000000000,34,2,7328,272870000000,274010000000,272640000000,273740000000,2106292,SPY
1541448000000000000,34,2,7328,273740000000,273940000000,272880000000,273440000000,2430633,SPY
1541451600000000000,34,2,7328,273420000000,273800000000,273400000000,273670000000,375211,SPY
1541455200000000000,34,2,7328,273640000000,273640000000,273500000000,273520000000,17254,SPY
1541458800000000000,34,2,7328,273530000000,273800000000,273440000000,273650000000,37401,SPY
1541494800000000000,34,2,7326,273330000000,273480000000,272880000000,272910000000,9140,SPY
1541498400000000000,34,2,7326,272860000000,273220000000,272710000000,272750000000,30341,SPY
1541502000000000000,34,2,7326,272830000000,273200000000,272830000000,273030000000,10396,SPY
1541505600000000000,34,2,7326,273080000000,273210000000,272830000000,273180000000,29924,SPY
1541509200000000000,34,2,7326,273160000000,273160000000,272860000000,272990000000,75048,SPY
1541512800000000000,34,2,7326,273120000000,274810000000,273120000000,274610000000,1200222,SPY
1541516400000000000,34,2,7326,274590000000,274660000000,273860000000,274390000000,1667597,SPY
1541520000000000000,34,2,7326,274420000000,274750000000,273930000000,274400000000,1382942,SPY
1541523600000000000,34,2,7326,274420000000,274980000000,274260000000,274710000000,1138525,SPY
1541527200000000000,34,2,7326,274720000000,274910000000,274530000000,274720000000,768477,SPY
1541530800000000000,34,2,7326,274720000000,274740000000,273450000000,273970000000,2463141,SPY
1541534400000000000,34,2,7326,273960000000,275300000000,273740000000,275100000000,3860936,SPY
1541538000000000000,34,2,7326,275100000000,275710000000,275030000000,275520000000,475576,SPY
1541541600000000000,34,2,7326,275440000000,275520000000,275350000000,275350000000,135477,SPY
1541545200000000000,34,2,7326,275350000000,275350000000,274760000000,274910000000,36095,SPY
1541581200000000000,34,2,7324,277340000000,278290000000,277340000000,278280000000,44369,SPY
1541584800000000000,34,2,7324,278280000000,278290000000,277890000000,277940000000,33086,SPY
1541588400000000000,34,2,7324,278020000000,278060000000,277540000000,277640000000,85863,SPY
1541592000000000000,34,2,7324,277600000000,278030000000,277230000000,277230000000,135447,SPY
1541595600000000000,34,2,7324,277250000000,277750000000,277060000000,277230000000,220679,SPY
1541599200000000000,34,2,7324,277240000000,278400000000,277020000000,277410000000,2440878,SPY
1541602800000000000,34,2,7324,277400000000,278920000000,277080000000,278560000000,3262162,SPY
1541606400000000000,34,2,7324,278560000000,279430000000,278360000000,279380000000,2157864,SPY
1541610000000000000,34,2,7324,279385000000,279620000000,279090000000,279520000000,1529076,SPY
1541613600000000000,34,2,7324,279540000000,279750000000,279000000000,279240000000,1299973,SPY
1541617200000000000,34,2,7324,279240000000,280400000000,279210000000,280070000000,2411453,SPY
1541620800000000000,34,2,7324,280070000000,281090000000,280010000000,280910000000,5633921,SPY
1541624400000000000,34,2,7324,280920000000,281330000000,280870000000,281240000000,958315,SPY
1541628000000000000,34,2,7324,281220000000,281260000000,281120000000,281160000000,43125,SPY
1541631600000000000,34,2,7324,281140000000,281270000000,280980000000,280980000000,30887,SPY
1541667600000000000,34,2,7324,280900000000,281060000000,280250000000,280250000000,19330,SPY
1541671200000000000,34,2,7324,280110000000,280270000000,279900000000,279940000000,43560,SPY
1541674800000000000,34,2,7324,279990000000,280280000000,279860000000,280150000000,32764,SPY
1541678400000000000,34,2,7324,280200000000,280550000000,280150000000,280520000000,58410,SPY
1541682000000000000,34,2,7324,280530000000,280600000000,280120000000,280330000000,69740,SPY
1541685600000000000,34,2,7324,280340000000,280980000000,280030000000,280900000000,1952010,SPY
1541689200000000000,34,2,7324,280900000000,281000000000,280140000000,280710000000,1996862,SPY
1541692800000000000,34,2,7324,280710000000,281140000000,280410000000,280930000000,1060624,SPY
1541696400000000000,34,2,7324,280960000000,281220000000,280620000000,280640000000,841514,SPY
1541700000000000000,34,2,7324,280630000000,280760000000,280095000000,280490000000,1021590,SPY
1541703600000000000,34,2,7324,280490000000,280920000000,279220000000,279830000000,2544573,SPY
1541707200000000000,34,2,7324,279840000000,280440000000,279350000000,280440000000,3466718,SPY
1541710800000000000,34,2,7324,280440000000,280770000000,280250000000,280260000000,515300,SPY
1541714400000000000,34,2,7324,280210000000,280250000000,280030000000,280050000000,44895,SPY
1541718000000000000,34,2,7324,280060000000,280250000000,280000000000,280250000000,36835,SPY
1541754000000000000,34,2,7328,279370000000,279650000000,279080000000,279390000000,25384,SPY
1541757600000000000,34,2,7328,279450000000,279450000000,278820000000,278980000000,51477,SPY
1541761200000000000,34,2,7328,279070000000,279170000000,278720000000,279020000000,48966,SPY
1541764800000000000,34,2,7328,279010000000,279320000000,278850000000,279320000000,45506,SPY
1541768400000000000,34,2,7328,279210000000,279500000000,278930000000,279180000000,81461,SPY
1541772000000000000,34,2,7328,279170000000,279310000000,278110000000,278430000000,2114912,SPY
1541775600000000000,34,2,7328,278430000000,278660000000,277540000000,277980000000,2983476,SPY
1541779200000000000,34,2,7328,277980000000,278310000000,276990000000,277140000000,2110144,SPY
1541782800000000000,34,2,7328,277140000000,277760000000,276810000000,277280000000,2116110,SPY
1541786400000000000,34,2,7328,277290000000,277445000000,276520000000,276740000000,1710672,SPY
1541790000000000000,34,2,7328,276730000000,277990000000,276180000000,277560000000,2405067,SPY
1541793600000000000,34,2,7328,277565000000,278820000000,277410000000,277830000000,5116844,SPY
1541797200000000000,34,2,7328,277830000000,277940000000,277410000000,277490000000,705776,SPY
1541800800000000000,34,2,7328,277550000000,277550000000,277380000000,277490000000,105471,SPY
1541804400000000000,34,2,7328,277440000000,277440000000,277250000000,277310000000,2100,SPY
1542013200000000000,34,2,7319,277910000000,277970000000,277500000000,277740000000,7953,SPY
1542016800000000000,34,2,7319,277660000000,277970000000,277390000000,277760000000,17878,SPY
1542020400000000000,34,2,7319,277760000000,277790000000,277340000000,277420000000,18812,SPY
1542024000000000000,34,2,7319,277390000000,277650000000,277180000000,277350000000,30893,SPY
1542027600000000000,34,2,7319,277300000000,277300000000,276620000000,277120000000,163457,SPY
1542031200000000000,34,2,7319,277110000000,277460000000,275550000000,275630000000,1771097,SPY
1542034800000000000,34,2,7319,275610000000,275940000000,274420000000,274490000000,3247882,SPY
1542038400000000000,34,2,7319,274490000000,274570000000,273090000000,274070000000,3460560,SPY
1542042000000000000,34,2,7319,274070000000,274640000000,273690000000,273690000000,1878879,SPY
1542045600000000000,34,2,7319,273700000000,274360000000,273010000000,273990000000,1847417,SPY
1542049200000000000,34,2,7319,273960000000,274930000000,273610000000,273670000000,2745659,SPY
1542052800000000000,34,2,7319,273670000000,274160000000,271990000000,272490000000,6735871,SPY
1542056400000000000,34,2,7319,272510000000,273050000000,272450000000,272800000000,872160,SPY
1542060000000000000,34,2,7319,272840000000,272880000000,272640000000,272860000000,47147,SPY
1542063600000000000,34,2,7319,272890000000,273260000000,272600000000,272640000000,41692,SPY
1542099600000000000,34,2,7319,274010000000,274100000000,273500000000,273500000000,12708,SPY
1542103200000000000,34,2,7319,273350000000,273840000000,273170000000,273830000000,25918,SPY
1542106800000000000,34,2,7319,273940000000,274330000000,273880000000,274100000000,61919,SPY
1542110400000000000,34,2,7319,274100000000,274630000000,273960000000,274040000000,70186,SPY
